Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-ECR1","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/StockLambdaECRRepo","Compliant","N/A","Error","The ECR Repository allows open access."
"AwsSolutions-IAM4","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/CodeBuildRole","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/CodeBuildRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-CB4","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/CodeBuildProject","Non-Compliant","N/A","Error","The CodeBuild project does not use an AWS KMS key for encryption."
"AwsSolutions-CB5","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/CodeBuildProject","Compliant","N/A","Warning","The Codebuild project does not use images provided by the CodeBuild service or have a cdk-nag suppression rule explaining the need for a custom image."
"AwsSolutions-IAM4","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/StockLambdaExecutionRole","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/StockLambdaExecutionRole","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/BuildCodeCustomResourceRole","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/BuildCodeCustomResourceRole","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","cfn-stacks-stock-data-stack-yaml/--src--cfn_stacks--stock_data_stack.yaml/BuildCodeCustomResourceFunction","Non-Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
